id,descripcion
1,Auxiliar de servicios generales
2,Auxiliar administrativo
3,Director| Gerente| Subgerente
4,Auxiliar de almacén producto terminado
5,Auxiliar de almacén de materia prima
6,Supervisor de almacén
7,Jefe de almacén
8,Auxiliar de mantenimiento
9,Auditor
10,Maquinista de tortillas
11,Amasador
12,Auxiliar de maquinista de tortillas
13,Empacador de tortillas
14,Supervisor de tortillas
15,Sellador de tortillas
16,Empacador de tostadas
17,Supervisor de tostadas
18,Maquinista de tostadas
19,Maquinista de tostadas (envasadora)
20,Auxiliar de maquinista de tostadas
21,Auxiliar de tostadas
22,Supervisor de botanas
23,Maquinista de botanas
24,Auxiliar de botanas
25,Empacador de botanas
26,Auxiliar de limpieza
27,Jefe de producción
28,Auxiliar administrativo
29,Analista de seguridad e higiene y medio ambiente
30,Vendedor
31,Chofer de reparto
32,Encargado de CEDIS
33,Supervisor de ventas
34,Promotor
35,Supervisor de autoservicios
36,Vigilante
37,Brigada de prevención y combate de incendios
38,Brigada de primeros auxilios
39,Brigada de búsqueda y rescate
40,Brigada de Evacuación y Comunicación
41,Brigada de Derrames y Fugas
42,Comisión mixta de seguridad e higiene
43,Comisión mixta de capacitación| adiestramiento y productividad laboral
